Expediente Caso;Expediente Víctima;CAVD;Comuna Delito;Fecha Ingreso;Mes Ingreso;Año Ingreso;Fecha Finalización;Mes Finalización;Año Finalización
NULL;VIR19597;39 Temuco;Curicó;18-12-2015;12;2015;20-12-2015;12;2015
NULL;VIR19600;39 Temuco;Copiapó;29-10-2015;10;2015;31-10-2015;10;2015
NULL;VIR19702;39 Temuco;Punta Arenas;05-01-2016;1;2016;07-01-2016;1;2016
NULL;VIR19724;39 Temuco;Calama;10-07-2015;7;2015;12-07-2015;7;2015
NULL;VIR19725;39 Temuco;Calama;10-07-2015;7;2015;12-07-2015;7;2015
NULL;VIR19734;39 Temuco;Santiago;11-12-2015;12;2015;13-12-2015;12;2015
NULL;VIR19764;39 Temuco;Rancagua;12-01-2016;1;2016;14-01-2016;1;2016
NULL;VIR19789;39 Temuco;Temuco;15-01-2016;1;2016;17-01-2016;1;2016
NULL;VIR19790;39 Temuco;Lo Prado;29-12-2015;12;2015;31-12-2015;12;2015
NULL;VIR19791;39 Temuco;Cerro Navia;30-12-2015;12;2015;01-01-2016;1;2016
NULL;VIR19801;39 Temuco;Linares;19-01-2016;1;2016;21-01-2016;1;2016
NULL;VIR19802;39 Temuco;Linares;19-01-2016;1;2016;21-01-2016;1;2016
NULL;VIR19834;39 Temuco;Rancagua;14-01-2016;1;2016;16-01-2016;1;2016
NULL;VIR19880;39 Temuco;Santiago;21-01-2016;1;2016;23-01-2016;1;2016
NULL;VIR19881;39 Temuco;Santiago;21-01-2016;1;2016;23-01-2016;1;2016
NULL;VIR19882;39 Temuco;San Felipe;10-12-2015;12;2015;12-12-2015;12;2015
NULL;VIR19883;39 Temuco;San Felipe;10-12-2015;12;2015;12-12-2015;12;2015
NULL;VIR19971;39 Temuco;Santiago;19-01-2016;1;2016;21-01-2016;1;2016
NULL;VIR20076;39 Temuco;Quellón;08-02-2016;2;2016;10-02-2016;2;2016
NULL;VIR20077;39 Temuco;Los Andes;03-12-2015;12;2015;05-12-2015;12;2015
NULL;VIR20172;39 Temuco;Santiago;11-02-2016;2;2016;13-02-2016;2;2016
NULL;VIR20249;39 Temuco;Chillán;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20250;39 Temuco;Retiro;05-02-2016;2;2016;07-02-2016;2;2016
NULL;VIR20268;39 Temuco;Maipú;23-02-2016;2;2016;25-02-2016;2;2016
NULL;VIR20269;39 Temuco;Pudahuel;23-02-2016;2;2016;25-02-2016;2;2016
NULL;VIR20273;39 Temuco;Santiago;23-02-2016;2;2016;25-02-2016;2;2016
NULL;VIR20274;39 Temuco;Santiago;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20279;39 Temuco;Villarrica;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20280;39 Temuco;Villarrica;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20281;39 Temuco;Villarrica;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20282;39 Temuco;Temuco;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20283;39 Temuco;Loncoche;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20284;39 Temuco;Temuco;22-02-2016;2;2016;24-02-2016;2;2016
NULL;VIR20285;39 Temuco;Punta Arenas;24-02-2016;2;2016;26-02-2016;2;2016
NULL;VIR20286;39 Temuco;Santiago;18-02-2016;2;2016;20-02-2016;2;2016
NULL;VIR20289;39 Temuco;Alto Hospicio;17-12-2015;12;2015;19-12-2015;12;2015
NULL;VIR20293;39 Temuco;Alto Hospicio;24-12-2015;12;2015;26-12-2015;12;2015
NULL;VIR20313;39 Temuco;Rancagua;17-02-2016;2;2016;19-02-2016;2;2016
NULL;VIR20314;39 Temuco;Maipú;11-02-2016;2;2016;13-02-2016;2;2016
NULL;VIR20365;39 Temuco;Galvarino;29-02-2016;2;2016;02-03-2016;3;2016
NULL;VIR20366;39 Temuco;Licantén;25-02-2016;2;2016;27-02-2016;2;2016
NULL;VIR20367;39 Temuco;Santiago;25-02-2016;2;2016;27-02-2016;2;2016
NULL;VIR20379;39 Temuco;Pozo Almonte;26-08-2015;8;2015;28-08-2015;8;2015
NULL;VIR20395;39 Temuco;Temuco;03-03-2016;3;2016;05-03-2016;3;2016
NULL;VIR20396;39 Temuco;Temuco;03-03-2016;3;2016;05-03-2016;3;2016
NULL;VIR20397;39 Temuco;Temuco;03-03-2016;3;2016;05-03-2016;3;2016
NULL;VIR20398;39 Temuco;Temuco;03-03-2016;3;2016;05-03-2016;3;2016
NULL;VIR20399;39 Temuco;Santiago;03-03-2016;3;2016;05-03-2016;3;2016
NULL;VIR20400;39 Temuco;Temuco;03-03-2016;3;2016;05-03-2016;3;2016
NULL;VIR20401;39 Temuco;Temuco;03-03-2016;3;2016;05-03-2016;3;2016
NULL;VIR20402;39 Temuco;Temuco;03-03-2016;3;2016;05-03-2016;3;2016
